active_networks,collateral,delegated_stake,delegator_type,label,opted_in_operators,slasher_type,tvl,utilization,vault,whitelisted
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xa57f8127b500d937d3bddc8c1d9d6e4a5d20ada3,True
0,0x7f98073e7234b7c7f9d0223168dbcd95feafba58,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x1cb58a874a4771c62052dff05b91579497aef2f2,True
0,0xe39b5f5638a209c1a6b6cdffe5d37f7ac99fcc84,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0xecf7ab379ffe1649bd046f670cebf2934b5b4af8,False
0,wstETH,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x1c7991be576945cb50b7cc0d0f5e7ebee86c90cf,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xf9fc625e2471211e2e58790aafa38231a8c9b76b,True
0,0xc10c27afcb915439c27cae54f5f46da48cd71190,0,NetworkRestakeDelegator,Other,0,VetoSlasher,0,NaN,0x2d99665900ddeb4db36400bb88b9c9813e95eb32,False
0,wstETH,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0xb2678d787eb00e132d2119d5a1f05fe4cca56bb0,False
0,ENA,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x27d8f885cd1c350110efda483b9b1437b944e773,False
1,wstETH,0,NetworkRestakeDelegator,Public,1,VetoSlasher,0,NaN,0x77d2d43e76e50ac3c43dd54533cd303e69cb0307,False
0,0x0d703b6ceb76d111a7c17e24a766e3a9cae4babe,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x6a6213a9be04077e3b54290fb6fe7a3493ec3af0,False
0,PEPE,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0xedc1595d16f6b5d3f256b201de031305b2a685d2,False
0,wstETH,0,OperatorNetworkSpecificDelegator,Public,0,VetoSlasher,0,NaN,0xc2b92763c00fc7e61e5e9acdab7d0c70ebf5e9e6,False
0,wstETH,0,NetworkRestakeDelegator,Public,1,VetoSlasher,0,NaN,0x1a33f761ae602bfa3d2891972f25f2e677cfcecd,True
0,MANTA,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x8f4040c9a286b2e59873c196f2f7737e93850593,False
0,ENA,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xcc4de7c3af8a4ecc2d96bc821bba3a2d94e3298b,True
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x287bed263ec8973994719efb8d17e653ac4a3e1b,True
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xfbacb2e046ba5bee318237a9d0ff8e50cb0ba82b,True
